bin,lon_rad,lon_deg,lat_summer_rad,lat_summer_deg,lat_winter_rad,lat_winter_deg
241,1.073377,61.5,-0.294926,-16.89804,-0.432202,-24.763365
242,1.090831,62.500001,-0.284048,-16.274746,-0.433797,-24.854754
243,1.108284,63.500002,-0.271577,-15.56024,-0.435212,-24.935803
244,1.125737,64.499997,-0.257528,-14.755253,-0.436427,-25.005445
245,1.143191,65.499998,-0.241927,-13.861385,-0.437427,-25.062717
246,1.160644,66.499999,-0.224803,-12.880235,-0.438194,-25.106655
247,1.178097,67.5,-0.206183,-11.813402,-0.438711,-25.136297
248,1.195551,68.500001,-0.186112,-10.663424,-0.438966,-25.150879
249,1.213004,69.500003,-0.164699,-9.436583,-0.438958,-25.150449
250,1.230457,70.499997,-0.142072,-8.140101,-0.438693,-25.135253
251,1.24791,71.499998,-0.118354,-6.781198,-0.438174,-25.105542
252,1.265364,72.499999,-0.093673,-5.367094,-0.437407,-25.061559
253,1.282817,73.5,-0.068164,-3.905504,-0.436397,-25.003731
254,1.30027,74.500002,-0.041995,-2.406119,-0.435166,-24.933186
255,1.317724,75.500003,-0.015344,-0.879123,-0.433736,-24.85123
256,1.335177,76.499997,0.011612,0.6653,-0.432129,-24.759171
257,1.35263,77.499998,0.038693,2.216965,-0.430369,-24.658313
258,1.370083,78.499999,0.065727,3.765888,-0.428478,-24.550007
259,1.387537,79.500001,0.092553,5.302892,-0.426485,-24.435792
260,1.40499,80.500002,0.119014,6.818997,-0.424416,-24.317254
261,1.422443,81.500003,0.144954,8.305227,-0.422299,-24.195974
262,1.439897,82.499997,0.170215,9.752602,-0.420163,-24.07354
263,1.45735,83.499998,0.194654,11.152834,-0.418032,-23.951447
264,1.474803,84.5,0.218173,12.500389,-0.415927,-23.830854
265,1.492257,85.500001,0.240688,13.790422,-0.413867,-23.712839
266,1.50971,86.500002,0.262115,15.018088,-0.411871,-23.598471
267,1.527163,87.500003,0.282369,16.178543,-0.409957,-23.488824
268,1.544616,88.499997,0.301378,17.267671,-0.408142,-23.38484
269,1.56207,89.499999,0.319121,18.284276,-0.406434,-23.286926
270,1.579523,90.5,0.33559,19.227896,-0.404835,-23.195358
271,1.596976,91.500001,0.350777,20.098062,-0.403353,-23.110413
272,1.61443,92.500002,0.364675,20.894312,-0.401991,-23.032363
273,1.631883,93.500003,0.377282,21.616651,-0.400752,-22.961392
274,1.649336,94.499998,0.388632,22.266956,-0.399633,-22.897297
275,1.666789,95.499999,0.398766,22.84758,-0.398629,-22.839787
276,1.684243,96.5,0.407724,23.360873,-0.397735,-22.788561
277,1.701696,97.500001,0.415549,23.809184,-0.396946,-22.743328
278,1.719149,98.500002,0.422283,24.195056,-0.396255,-22.703762
279,1.736603,99.500003,0.427986,24.521795,-0.395656,-22.669427
280,1.754056,100.499998,0.432718,24.7929,-0.39514,-22.639857
281,1.771509,101.499999,0.436539,25.011869,-0.394699,-22.614587
282,1.788962,102.5,0.439512,25.182204,-0.394325,-22.593152
283,1.806416,103.500001,0.441698,25.307427,-0.39401,-22.575102
284,1.823869,104.500002,0.44316,25.39118,-0.393747,-22.560053
285,1.841322,105.499997,0.443962,25.437134,-0.393531,-22.547643
286,1.858776,106.499998,0.444168,25.448954,-0.393354,-22.537502
287,1.876229,107.499999,0.443843,25.430309,-0.39321,-22.529266
288,1.893682,108.5,0.443048,25.384803,-0.393093,-22.522595
289,1.911136,109.500001,0.441844,25.315779,-0.393,-22.517264
290,1.928589,110.500003,0.440286,25.226513,-0.392927,-22.513072
291,1.946042,111.499997,0.438432,25.120285,-0.39287,-22.509819
292,1.963495,112.499998,0.436339,25.000371,-0.392827,-22.507309
293,1.980949,113.499999,0.434062,24.869904,-0.392793,-22.505359
294,1.998402,114.5,0.431645,24.73143,-0.392767,-22.50387
295,2.015855,115.500002,0.42913,24.587354,-0.392747,-22.502763
296,2.033309,116.499996,0.42656,24.440075,-0.392733,-22.501957
297,2.050762,117.500004,0.423975,24.291996,-0.392723,-22.501375
298,2.068215,118.499998,0.421415,24.145323,-0.392716,-22.500943
299,2.085669,119.500006,0.418905,24.001478,-0.39271,-22.500631
300,2.103122,120.500001,0.416465,23.861691,-0.392706,-22.500416
301,2.120575,121.499995,0.414118,23.727188,-0.392704,-22.50027
302,2.138028,122.500003,0.411884,23.599195,-0.392702,-22.500177
303,2.155482,123.499997,0.409782,23.478767,-0.392701,-22.50011
304,2.172935,124.500005,0.407818,23.366246,-0.3927,-22.500066
305,2.190388,125.5,0.405995,23.261804,-0.3927,-22.500036
306,2.207841,126.499994,0.404316,23.165608,-0.392699,-22.500021
307,2.225295,127.500002,0.402784,23.077828,-0.392699,-22.500011
308,2.242748,128.499996,0.4014,22.998533,-0.392699,-22.500006
309,2.260201,129.500004,0.400158,22.927391,-0.392699,-22.500002
310,2.277655,130.499999,0.399051,22.863966,-0.392699,-22.500001
311,2.295108,131.500007,0.398072,22.807827,-0.392699,-22.500001
312,2.312561,132.500001,0.397211,22.758539,-0.392699,-22.500001
313,2.330014,133.499995,0.396463,22.71565,-0.392699,-22.500001
314,2.347468,134.500003,0.395817,22.678624,-0.392699,-22.500001
315,2.364921,135.499998,0.395263,22.646908,-0.392699,-22.500001
316,2.382375,136.500006,0.394793,22.619946,-0.392699,-22.500001
317,2.399828,137.5,0.394395,22.597184,-0.392699,-22.500001
318,2.417281,138.499994,0.394062,22.578092,-0.392699,-22.500001
319,2.434734,139.500002,0.393785,22.562241,-0.392699,-22.500001
320,2.452188,140.499997,0.393558,22.549222,-0.392699,-22.500001
321,2.469641,141.500005,0.393373,22.538632,-0.392699,-22.500001
322,2.487094,142.499999,0.393224,22.530062,-0.392699,-22.500001
323,2.504547,143.499993,0.393103,22.52314,-0.392699,-22.500001
324,2.522001,144.500001,0.393006,22.517612,-0.392699,-22.500001
325,2.539454,145.499996,0.392931,22.513265,-0.392699,-22.500001
326,2.556907,146.500004,0.392871,22.509879,-0.392699,-22.500002
327,2.574361,147.499998,0.392825,22.507234,-0.392699,-22.500004
328,2.591814,148.500006,0.392789,22.50513,-0.392699,-22.500007
329,2.609267,149.5,0.392759,22.503428,-0.392699,-22.500013
